Date,Time,Sample,Method,Duration,S,Unit,+/-,Pass/Fail,Blank
2021-02-26,22:04:56,,Test EA,,3.010,%,0.0036,,
2021-02-26,22:04:56,1,Test EA,30,3.006,%,0.0053,,
2021-02-26,22:05:46,2,Test EA,30,3.012,%,0.0053,,
2021-02-26,22:06:37,3,Test EA,30,3.012,%,0.0053,,
2021-02-26,22:07:58,,Test EA,,3.017,%,0.0066,,
2021-02-26,22:07:58,1,Test EA,30,3.019,%,0.0053,,
2021-02-26,22:08:44,2,Test EA,30,3.009,%,0.0053,,
2021-02-26,22:09:29,3,Test EA,30,3.022,%,0.0054,,
2021-02-26,22:10:53,,Test EA,,3.019,%,0.0067,,
2021-02-26,22:10:53,1,Test EA,30,3.021,%,0.0054,,
2021-02-26,22:11:39,2,Test EA,30,3.016,%,0.0053,,
2021-02-26,22:12:24,3,Test EA,30,3.005,%,0.0053,,
2021-02-26,22:13:10,4,Test EA,30,3.017,%,0.0053,,
2021-02-26,22:13:56,5,Test EA,30,3.003,%,0.0053,,
2021-02-26,22:14:41,6,Test EA,30,3.024,%,0.0054,,
2021-02-26,22:15:27,7,Test EA,30,3.009,%,0.0053,,
2021-02-26,22:16:12,8,Test EA,30,3.015,%,0.0053,,
2021-02-26,22:16:58,9,Test EA,30,3.029,%,0.0054,,
2021-02-26,22:17:43,10,Test EA,30,3.020,%,0.0053,,
2021-02-26,22:18:29,11,Test EA,30,3.021,%,0.0053,,
2021-02-26,22:19:15,12,Test EA,30,3.018,%,0.0053,,
2021-02-26,22:20:00,13,Test EA,30,3.018,%,0.0054,,
2021-02-26,22:20:46,14,Test EA,30,3.027,%,0.0054,,
2021-02-26,22:21:31,15,Test EA,30,3.012,%,0.0053,,
2021-02-26,22:22:17,16,Test EA,30,3.026,%,0.0054,,
2021-02-26,22:23:02,17,Test EA,30,3.024,%,0.0054,,
2021-02-26,22:23:48,18,Test EA,30,3.022,%,0.0053,,
2021-02-26,22:24:33,19,Test EA,30,3.028,%,0.0054,,
2021-02-26,22:25:40,20,Test EA,30,3.011,%,0.0053,,
2021-02-26,22:26:25,21,Test EA,30,3.022,%,0.0053,,
2021-02-26,22:27:11,22,Test EA,30,3.022,%,0.0053,,
2021-02-26,22:27:57,23,Test EA,30,3.022,%,0.0053,,
2021-02-26,22:28:42,24,Test EA,30,3.011,%,0.0053,,
2021-02-26,22:29:28,25,Test EA,30,3.014,%,0.0053,,
2021-02-26,22:30:14,26,Test EA,30,3.019,%,0.0053,,
2021-02-26,22:30:59,27,Test EA,30,3.026,%,0.0054,,
2021-02-26,22:31:45,28,Test EA,30,3.024,%,0.0053,,
2021-02-26,22:32:30,29,Test EA,30,3.024,%,0.0053,,
2021-02-26,22:33:16,30,Test EA,30,3.018,%,0.0054,,
2021-02-26,23:06:46,,Test EA,30,2.983,%,0.0053,,
